"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks",shop_clicks,"CPC (cost per link click) (INR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (INR)","Landing page views","Cost per landing page view (INR)"
2023-05-10,2026-06-10,,0,"7-day click or 1-day view",,,167394,6.052959,,0,0,231856.19,,1013229,228.829011,,,,,13254,1.308095,17.493299,,
2023-05-10,2026-06-10,"bungalow ahmd general",active,"7-day click or 1-day view",378,actions:leadgen.other,47559,5.033832,129.2502381,1000,Daily,48856.59,Ongoing,239404,204.075914,2548,,19.174486,1.06431,4159,1.737231,11.747196,,
2023-05-10,2026-06-10,"GODREJ VASTRAPUR Leads campaign",active,"7-day click or 1-day view",57,actions:leadgen.other,94528,2.593877,824.53438596,1500,Daily,46998.46,Ongoing,245194,191.678671,1419,,33.120832,0.578725,2078,0.847492,22.617161,,
2023-05-10,2026-06-10,"LAARGE Apts campaign 07/07/2024 Campaign – Copy 2 - Copy",active,"7-day click or 1-day view",160,actions:leadgen.other,48230,4.041779,391.3398125,900,Daily,62614.37,Ongoing,194935,321.206402,1547,,40.474706,0.793598,2225,1.141406,28.14129,1,62614.37
2023-05-10,2026-06-10,"NN New Leads campaign",active,"7-day click or 1-day view",90,actions:leadgen.other,41477,4.488512,450.92533333,1500,Daily,40583.28,Ongoing,186170,217.990439,1292,,31.411207,0.693989,2344,1.259064,17.313686,,
2023-05-10,2026-06-10,"bungalow ahmd general – quality lead",active,"7-day click or 1-day view",132,actions:leadgen.other,33509,4.402578,248.51128788,1000,Daily,32803.49,Ongoing,147526,222.357347,1381,,23.753432,0.936106,2448,1.659369,13.400118,,
